metric,value
run_name,RUN_2026.07.29_physical_v2_targeted_eco3_signoff
source_run,RUN_2026.07.29_physical_v2_targeted_eco3
clock_period_ns,10.000
setup_wns_ns,0.00
setup_tns_ns,0.00
worst_setup_slack_ns,2.89
worst_hold_slack_ns,0.22
sta_electrical_violator_entries,1385
pin_antenna_violations,1
net_antenna_violations,1
detailed_route_drc_violations,0
magic_drc_markers,4
lvs_total_errors,2
lvs_net_count_difference,1
lvs_device_count_difference,0
lvs_unmatched_nets,1
lvs_unmatched_devices,0
gds_bytes,60973986
def_bytes,26749158
