net,length_um
net7,1508.6
net9,1502.14
net2,1463.06
net30,1409.56
net61,1375.83
net6,1365.82
_07694_,1354.06
net60,1347.96
net41,1320.68
net53,1316.52
net38,1304.16
net54,1293.4
net8,1285.2
net48,1257.68
net58,1252.74
net31,1247.79
net5,1244.14
net57,1241.12
net10,1236.75
net52,1229.68
net39,1214.37
net32,1206.96
net67,1199.26
net56,1195
net50,1187.895
net59,1185.35
net40,1177.18
net3,1173
net64,1163.6
net51,1156.6
net55,1155.61
net37,1141.94
net63,1140.71
net45,1139.09
net65,1130.98
net28,1129.98
net62,1121
net16,1119.26
net29,1119.07
net11,1110.51
net15,1101.1
net4,1088.99
net26,1085.39
net43,1071.21
net47,1069.235
net46,1067.18
net13,1065.74
net66,1059.47
net68,1049.7
net462,1043.87
net42,1031.32
net44,1028.06
net23,976.86
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.start,971.91
net49,968.16
_07693_,943.69
net18,940.05
net27,929.62
net461,922.34
net19,900.87
net14,900.48
net1,900.03
net17,885.23
net20,871.96
clknet_0_clk,853.88
net22,844.14
net25,832.06
net12,811.07
net24,810.62
net237,798.88
clknet_2_0_0_clk,767.13
clknet_2_3_0_clk,747.8
clk,739.75
net73,737.69
net92,708.4
clknet_2_2_0_clk,704.96
clknet_2_1_0_clk,700.15
_07847_,699.19
net85,682.55
net97,665.66
net21,662.02
net36,628.02
net100,626.6
net80,621.58
_08473_,602.5
net70,597.155
_10433_,584.295
net307,558.72
net71,555.14
net69,554.17
_04162_,546.66
clknet_5_8__leaf_clk,536.65
net77,536.06
net90,535.77
_06313_,526.66
_07668_,526.51
_06314_,522.23
_04173_,519.66
net107,517.64
stage8_inst.in3\[31\],511.265
_07002_,510.23
clknet_5_7__leaf_clk,508.78
net105,506.42
net98,505.14
net35,503.36
clknet_5_11__leaf_clk,502.06
net99,500.56
clknet_5_17__leaf_clk,499.78
_08245_,499.66
clknet_5_3__leaf_clk,495.85
net74,495.32
net33,493.51
stage8_inst.in3\[0\],488.08
clknet_5_28__leaf_clk,485.62
_04149_,484.64
clknet_5_30__leaf_clk,482.32
_04144_,481.305
net109,480.46
stage8_inst.in3\[30\],477.385
stage8_inst.in3\[1\],475.32
net101,474.92
_04851_,474.665
_09770_,471.745
net110,470.62
