Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,199
design__inferred_latch__count,0
design__instance__count,112071
design__instance__area,1.65083E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,1
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,102
power__internal__total,0.021015742793679237
power__switching__total,0.004709965083748102
power__leakage__total,0.00011467435251688585
power__total,0.025840381160378456
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.8300318445279159
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.7227193492671806
timing__hold__ws__corner:nom_tt_025C_1v80,0.23051183836395753
timing__setup__ws__corner:nom_tt_025C_1v80,3.755778017117197
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.230512
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,3.755778
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,473
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,122
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.2502379485564825
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.1027552516603663
timing__hold__ws__corner:nom_ss_100C_1v60,-0.426180436337645
timing__setup__ws__corner:nom_ss_100C_1v60,-3.3018797519628467
timing__hold__tns__corner:nom_ss_100C_1v60,-2.6250724559321936
timing__setup__tns__corner:nom_ss_100C_1v60,-181.25739644477713
timing__hold__wns__corner:nom_ss_100C_1v60,-0.426180436337645
timing__setup__wns__corner:nom_ss_100C_1v60,-3.3018797519628467
timing__hold_vio__count__corner:nom_ss_100C_1v60,17
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.747285
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,110
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-3.301880
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,110
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,102
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.6372219599011857
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.5684572973240627
timing__hold__ws__corner:nom_ff_n40C_1v95,0.04884248699290423
timing__setup__ws__corner:nom_ff_n40C_1v95,6.739336390813615
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.048842
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,6.739336
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1038
design__max_fanout_violation__count,0
design__max_cap_violation__count,138
clock__skew__worst_hold,-0.6043368199148259
clock__skew__worst_setup,0.5453248007510437
timing__hold__ws,-0.5373346364391416
timing__setup__ws,-3.6291006782463673
timing__hold__tns,-4.467128127179159
timing__setup__tns,-220.25431346637285
timing__hold__wns,-0.5373346364391416
timing__setup__wns,-3.6291006782463673
timing__hold_vio__count,39
timing__hold_r2r__ws,0.045149
timing__hold_r2r_vio__count,0
timing__setup_vio__count,328
timing__setup_r2r__ws,-3.629101
timing__setup_r2r_vio__count,328
design__die__bbox,0.0 0.0 2400.0 2400.0
design__core__bbox,5.52 10.88 2394.3 2388.16
design__io,113
design__die__area,5.76E+6
design__core__area,5.6788E+6
design__instance__count__stdcell,112065
design__instance__area__stdcell,506552
design__instance__count__macros,6
design__instance__area__macros,1.14428E+6
design__instance__utilization,0.2907
design__instance__utilization__stdcell,0.11171
design__instance__count__class:macro,6
design__instance__count__class:antenna_cell,1364
design__instance__count__class:buffer,120
design__instance__count__class:inverter,886
design__instance__count__class:sequential_cell,4333
design__instance__count__class:multi_input_combinational_cell,35297
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,422681
design__instance__count__class:tap_cell,63298
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
floorplan__design__io,111
design__io__hpwl,96854537
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,113.18
design__instance__displacement__mean,0
design__instance__displacement__max,6.4
route__wirelength__estimated,2.06571E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,5627
design__instance__count__class:clock_buffer,694
design__instance__count__class:clock_inverter,446
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1
antenna__violating__nets,114
antenna__violating__pins,123
route__antenna_violation__count,114
antenna_diodes_count,1225
route__net,47351
route__net__special,2
route__drc_errors__iter:1,23596
route__wirelength__iter:1,2267412
route__drc_errors__iter:2,13576
route__wirelength__iter:2,2260138
route__drc_errors__iter:3,12321
route__wirelength__iter:3,2259108
route__drc_errors__iter:4,1773
route__wirelength__iter:4,2258628
route__drc_errors__iter:5,136
route__wirelength__iter:5,2258422
route__drc_errors__iter:6,10
route__wirelength__iter:6,2258429
route__drc_errors__iter:7,0
route__wirelength__iter:7,2258416
route__drc_errors,0
route__wirelength,2258416
route__vias,338553
route__vias__singlecut,338553
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2264.11
timing__unannotated_net__count__corner:nom_tt_025C_1v80,669
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,669
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,669
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,81
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.7770544427851545
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.6854910166856534
timing__hold__ws__corner:min_tt_025C_1v80,0.24612690360232964
